,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7376740149551119,1.5304186342895638,-0.5962408810798298,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.017676877333522467,0.05996629621334143,-0.05021608829592779,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21175162066001463,0.5535630112542025,-0.18697405021385138,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.22889904604481318,0.5957198749644962,-0.199744171888751,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.10445717506295882,0.3510419293600226,-0.114061004392709,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.21141813385088506,0.5803290570730294,-0.19719172989539352,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.4169862300857863,1.220167034081552,-0.8420917826359541,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20242717379416794,0.5778932424123819,-0.1794629097474319,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.058564640395774095,0.2710749406181658,-0.13074006775679817,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06646302713748914,0.2687353877991796,-0.03574660188672693,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.056495762614740354,0.27254240127898155,-0.10360792413252606,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.05594531762365673,0.27594348489466075,-0.0970413114979023,0.03627097381213737
