,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.46484685052704516,0.9643965596113554,-0.030218806401621334,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,-0.027964289684807103,-0.09486488178852302,-0.08511467387110938,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.14819573968597055,0.387414649578173,-0.020825688537821907,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.162283888215234,0.4223509851474199,-0.02637528207167472,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.04333482427949811,0.14563231596473608,0.09134860900257752,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.14795787775447994,0.4061347724521334,-0.02299744527449754,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.29756010538317745,0.8707074839658158,-0.4926322325202178,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.15065192267418862,0.43008419491333416,-0.031653862248384124,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.032990415715434394,0.15270092876170518,-0.01236605590033757,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.03246556819268884,0.13127068438117712,0.10171810153127556,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.03818718182734843,0.18421959013590103,-0.015285112989445543,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.03959366977007542,0.19529096768418464,-0.01638879428742618,0.03627097381213737
