,keyword,max,mean
0,deep_learning,0.9537519443677964,0.7153176507924834
1,reinforcement_learning,0.9145082380745942,0.7758959710735966
2,unsupervised_learning,0.9537519443677964,0.7311062683956792
3,natural_language_processing,0.9283458416425788,0.7530193984422924
4,computer_vision,0.9225139901641114,0.7320116309169411
5,optimization,0.9103468411627721,0.7581501433063381
6,applications,0.9258055129162562,0.6763389427222681
7,supervised_learning,0.9537519443677964,0.7136459217840826
8,transfer_learning,0.8887565932216325,0.727601658145363
9,theory,0.9244411421649943,0.7604725948814371
10,semi_supervised_learning,0.9425225598197129,0.7274376623857982
11,structured_prediction,0.8737411972053435,0.7394371932791175
