,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7117976838101947,1.4767341902555164,-0.5425564370457824,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.004244113524008636,0.014397552460304101,-0.004647344542890463,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.2164983440844594,0.5659719387714344,-0.19938297773108327,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.23078638400338625,0.6006317553420001,-0.20465605226625488,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.08418750272103617,0.28292305785009203,-0.04594213288277843,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.20855535974689554,0.5724709279422847,-0.18933360076464884,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.4230781372475842,1.2379929087920478,-0.8599176573464499,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20353801777885092,0.5810645025751874,-0.18263416991023734,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.05037143047585925,0.2331514789951803,-0.09281660613381268,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.059478896147254996,0.24049588034764247,-0.007507094435189793,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.05460083197088596,0.2634010263504757,-0.0944665492040202,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.05506319569565182,0.27159252561415176,-0.0926903522173933,0.03627097381213737
