,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7172780677272989,1.4881040928137723,-0.5539263396040383,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.003570261501404187,0.012111605161522602,-0.0023613972441089634,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21676270509228338,0.5666630337207581,-0.200074072680407,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.2269846318423732,0.5907375274667065,-0.1947618243909613,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.08569128634690182,0.2879767184056806,-0.05099579343836702,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.20928962178522498,0.5744864295862865,-0.1913491024086506,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.4243669037986874,1.2417640416180875,-0.8636887901724896,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20406515001916223,0.5825693704929865,-0.18413903782803648,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.05318649280277195,0.24618140367238123,-0.10584653081101361,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06852821331909814,0.2770857238174913,-0.04409693790503863,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.054601826890200905,0.2634058259617496,-0.09447134881529412,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.05485051641933489,0.27054351091257195,-0.09164133751581349,0.03627097381213737
