,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.49335640356344446,1.0235440290051732,-0.0893662757954391,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,-0.010087837074494871,-0.034221554788633174,-0.024471346871219535,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.14547020776756245,0.3802895392658138,-0.013700578225462723,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.16588827501326536,0.4317315609503726,-0.03575585787462737,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.058135989394230744,0.19537355734447234,0.04160736762284126,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.15205494996878266,0.41738096979376443,-0.034243642616128556,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.29552129814263883,0.8647416145814953,-0.4866663631358974,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.14993859137473695,0.42804776210726475,-0.029617429442314713,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.03781508177181366,0.1750325960595353,-0.03469772319816769,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.04327547162739595,0.1749792501313986,0.058009535781054083,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.04013657831793392,0.19362371490561195,-0.024689237759156463,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.04036864759598233,0.19911345169322012,-0.02021127829646166,0.03627097381213737
