,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7376901516611113,1.5304521123775225,-0.5962743591677885,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.019341727201004855,0.06561406297782896,-0.055863855060415316,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21062879237318863,0.5506277033418501,-0.18403874230149897,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.22717694054681006,0.5912380193618947,-0.19526231628614948,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.10890347643418595,0.36598430369602136,-0.12900337872870776,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.21107666243476583,0.5793917401961638,-0.19625441301852792,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.41382840652417724,1.2109267476372523,-0.8328514961916543,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20170953867892846,0.575844522984839,-0.17741419031988898,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.059032373017769556,0.27323990896554673,-0.13290503610417911,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06642636233646304,0.2685871380135966,-0.035598352101143954,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.05649528764395474,0.27254010996238615,-0.10360563281593066,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.05604668712964112,0.27644347767210015,-0.09754130427534169,0.03627097381213737
