,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7082162068367169,1.4693038633260491,-0.5351261101163151,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,-0.0018826999826479507,-0.006386792345173926,0.003363415572239712,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21163456533055697,0.5532570041480658,-0.18666804310771468,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.22342529932326916,0.5814742074141511,-0.18549850433840592,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.07627971542599339,0.2563479096389007,-0.019366984671587095,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.20582162068367169,0.5649669916244883,-0.1818296644468524,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.4189397883047024,1.2258834514735368,-0.8478082000279389,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20440742668748915,0.5835465089371693,-0.18511617627221927,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.051414193996182536,0.23797806133975183,-0.09764318847838421,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06314419573138988,0.2553160856191394,-0.022327299706686704,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.054381398577129966,0.2623424530825498,-0.09340797593609429,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.054390074613916366,0.26827243762574066,-0.0893702642289822,0.03627097381213737
