,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7107431783902372,1.4745464559556163,-0.5403687027458822,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.004202660085013021,0.01425692755495622,-0.004506719637542582,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21508981214863565,0.5622897417832272,-0.1957007807428761,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.23085150143973676,0.6008012263455321,-0.20482552326978692,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.08290141231317702,0.2786009836810923,-0.04162005871377872,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.20782256958727546,0.5704594665098199,-0.18732213933218406,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.42230220759632525,1.23572241707572,-0.857647165630122,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20355135061017413,0.5811025654151682,-0.1826722327502182,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.04960921431509667,0.22962345083483268,-0.08928857797346507,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06031811325928973,0.24388915546259957,-0.010900369550146893,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.05538187302893186,0.2671688630094638,-0.09823438586300831,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.05477169888934595,0.27015475301790337,-0.09125257962114491,0.03627097381213737
